	0
alegria	alegria
animação	alegria
alacridade	alegria
prazer	alegria
bom humor	alegria
contentamento	alegria
desfastio	alegria
entusiasmo	alegria
exultação	alegria
felicidade	alegria
gáudio	alegria
jovialidade	alegria
jubilação	alegria
júbilo	alegria
ledice	alegria
regozijo	alegria
agrado	alegria
aprazimento	alegria
bem-estar	alegria
deleitação	alegria
deleitamento	alegria
deleite	alegria
delícia	alegria
desejo	alegria
gosto	alegria
regalo	alegria
satisfação	alegria
distração	alegria
diversão	alegria
divertimento	alegria
entretenimento	alegria
passatempo	alegria
recreação	alegria
gozo	alegria
satisfazer	alegria
comprazer	alegria
aprazer	alegria
agradar	alegria
jubilidade	alegria
euforia	alegria
arrebatamento	alegria
êxtase	alegria
enlevo	alegria
arroubo	alegria
fúria	alegria
ira	alegria
zanga	alegria
alienação	alegria
ímpeto	alegria
impulso	alegria
absorção	alegria
ataque	alegria
acesso	alegria
admiração	alegria
agitação	alegria
delírio	alegria
loucura	alegria
alma	alegria
paixão	alegria
encantamento	alegria
fascínio	alegria
transporte	alegria
gana	alegria
suspensão	alegria
movimento	alegria
embriaguez	alegria
encanto	alegria
exaltação	alegria
excitação	alegria
fissura	alegria
frenesi	alegria
furor	alegria
súbito	alegria
vivacidade	alegria
abrasamento	alegria
anagogia	alegria
espasmo	alegria
focagem	alegria
gama	alegria
incandescência	alegria
instinto	alegria
rapto	alegria
repente	alegria
rompante	alegria
surto	alegria
veemência	alegria
voo	alegria
elã	alegria
empolgação	alegria
calma	alegria
tranquilidade	alegria
serenidade	alegria
bonança	alegria
calmaria	alegria
equilíbrio	alegria
malacia	alegria
paz	alegria
quietação	alegria
quietude	alegria
relaxamento	alegria
remanso	alegria
repouso	alegria
silêncio	alegria
sossego	alegria
vagar	alegria
eutimia	alegria
fleuma	alegria
impassibilidade	alegria
imperturbabilidade	alegria
mansidão	alegria
pacacidade	alegria
pacatez	alegria
paciência	alegria
calidez	alegria
bafo	alegria
ardor	alegria
calor	alegria
canícula	alegria
mormaceira	alegria
mormaço	alegria
quentura	alegria
soalheira	alegria
conforto	alegria
proteção	alegria
aconchego	alegria
comodidade	alegria
descanso	alegria
agasalho	alegria
alívio	alegria
consolação	alegria
refrigério	alegria
alento	alegria
frescor	alegria
auxílio	alegria
bálsamo	alegria
consolo	alegria
lenitivo	alegria
remédio	alegria
despreocupação	alegria
disposição	alegria
otimismo	alegria
esperança	alegria
confiança	alegria
positividade	alegria
comprazimento	alegria
benevolência	alegria
benignidade	alegria
complacência	alegria
condescendência	alegria
amizade	alegria
primor	alegria
beleza	alegria
mercê	alegria
bondade	alegria
clemência	alegria
indulgência	alegria
filantropia	alegria
generosidade	alegria
beneficência	alegria
humanidade	alegria
alvoroço	alegria
estorvo	alegria
obstáculo	alegria
adversidade	alegria
aperto	alegria
atrapalhação	alegria
atravancamento	alegria
atravanco	alegria
barranco	alegria
barreira	alegria
bloqueio	alegria
busílis	alegria
cadeado	alegria
cárcere	alegria
complicação	alegria
contrariedade	alegria
contratempo	alegria
dificuldade	alegria
embaraço	alegria
embargo	alegria
empacho	alegria
empata	alegria
empecilho	alegria
empeço	alegria
empeno	alegria
encalhe	alegria
encravo	alegria
encrenca	alegria
enguiço	alegria
entrave	alegria
estafermo	alegria
estorva	alegria
gargalo	alegria
imbondo	alegria
impasse	alegria
impedimento	alegria
inconveniente	alegria
intercepção	alegria
interdição	alegria
interrupção	alegria
mas	alegria
nó	alegria
óbice	alegria
objeção	alegria
obstrução	alegria
oposição	alegria
pejo	alegria
percalço	alegria
perturbação	alegria
pespego	alegria
pior	alegria
porém	alegria
prejuízo	alegria
prisão	alegria
proibição	alegria
remora	alegria
resistência	alegria
restrição	alegria
revés	alegria
tolhimento	alegria
tope	alegria
torniquete	alegria
tortura	alegria
trambolho	alegria
transtorno	alegria
tropeço	alegria
vedação	alegria
xeque	alegria
aborrecimento	alegria
abuso	alegria
agastamento	alegria
amofinação	alegria
amuo	alegria
carga	alegria
chateação	alegria
chatice	alegria
desagrado	alegria
descontentamento	alegria
enfado	alegria
importunação	alegria
incômodo	alegria
insatisfação	alegria
irritação	alegria
maçada	alegria
tédio	alegria
contento	alegria
conteúdo	alegria
jucundidade	alegria
pasto	alegria
invernada	alegria
invernia	alegria
inverno	alegria
pastagem	alegria
engorda	alegria
alimento	alegria
comida	alegria
comestível	alegria
comer	alegria
prato	alegria
petisco	alegria
manjar	alegria
iguaria	alegria
maná	alegria
vianda	alegria
víveres	alegria
vitualhas	alegria
sustento	alegria
subsistência	alegria
alimentação	alegria
mantimento	alegria
nutrição	alegria
nutrimento	alegria
provisão	alegria
provimento	alegria
estímulo	alegria
incentivo	alegria
fomento	alegria
alavanca	alegria
favorecedor	alegria
estimulante	alegria
motor	alegria
mola	alegria
assunto	alegria
tema	alegria
temática	alegria
tópico	alegria
ponto	alegria
matéria	alegria
argumento	alegria
questão	alegria
tese	alegria
trama	alegria
particular	alegria
objeto	alegria
motivo	alegria
quesito	alegria
elevado	alegria
erguido	alegria
levantado	alegria
assumpto	alegria
campo	alegria
campina	alegria
plaino	alegria
planície	alegria
campanha	alegria
planura	alegria
pradaria	alegria
prado	alegria
solo	alegria
terreno	alegria
torrão	alegria
gleba	alegria
lavrada	alegria
leira	alegria
leiva	alegria
pastio	alegria
pastoreio	alegria
plantação	alegria
roça	alegria
roçado	alegria
seara	alegria
semeada	alegria
vale	alegria
varga	alegria
vargem	alegria
várzea	alegria
interior	alegria
província	alegria
área	alegria
espaço	alegria
extensão	alegria
superfície	alegria
alçada	alegria
âmbito	alegria
domínio	alegria
esfera	alegria
arena	alegria
cancha	alegria
circo	alegria
estacada	alegria
gramado	alegria
liça	alegria
picadeiro	alegria
pista	alegria
quadra	alegria
recinto	alegria
relvado	alegria
divisão	alegria
facção	alegria
grupo	alegria
lado	alegria
partido	alegria
plano	alegria
quadro	alegria
ensejo	alegria
justificativa	alegria
ocasião	alegria
oportunidade	alegria
razão de ser	alegria
cenário	alegria
fundo	alegria
horizonte	alegria
paisagem	alegria
ervaçal	alegria
forragem	alegria
erva	alegria
feno	alegria
riso	alegria
sorriso	alegria
sorrir	alegria
risada	alegria
smile	alegria
amabilidade	alegria
simpatia	alegria
gentileza	alegria
atenção	alegria
cortesia	alegria
delicadeza	alegria
afabilidade	alegria
fineza	alegria
finura	alegria
zombaria	alegria
apodo	alegria
gozação	alegria
ironia	alegria
troça	alegria
brincadeira	alegria
caçoada	alegria
chacota	alegria
chacoteação	alegria
chacotice	alegria
chalaça	alegria
chança	alegria
chasco	alegria
chincalhada	alegria
chufa	alegria
debique	alegria
derriço	alegria
desfrute	alegria
desfruto	alegria
dichote	alegria
dictério	alegria
galhofa	alegria
gracejo	alegria
irrisão	alegria
judiaria	alegria
ludíbrio	alegria
mangação	alegria
matraca	alegria
mofa	alegria
momo	alegria
motejo	alegria
pela	alegria
pilhéria	alegria
remoque	alegria
sarcasmo	alegria
sátira	alegria
tiro	alegria
tripúdio	alegria
zoada	alegria
achicalhe	alegria
achincalhação	alegria
achincalhamento	alegria
chincalho	alegria
escarnecimento	alegria
escarninho	alegria
escárnio	alegria
gargalhada	alegria
hilaridade	alegria
risota	alegria
ridículo	alegria
sol	alegria
claridade	alegria
luz	alegria
luminosidade	alegria
clareza	alegria
esplendor	alegria
resplendor	alegria
resplandecência	alegria
brilho	alegria
aquecimento	alegria
glória	alegria
guia	alegria
estrela	alegria
farol	alegria
bússola	alegria
tocha	alegria
talento	alegria
gênio	alegria
prodígio	alegria
portento	alegria
espírito	alegria
