	0
alegria	alegria
tristeza	tristeza
raiva	raiva
nojo	nojo
medo	medo
animação	alegria
alacridade	alegria
agrado	alegria
felicidade	alegria
prazer	alegria
aprazimento	alegria
euforia	alegria
bem-estar	alegria
bom humor	alegria
comprazimento	alegria
contentamento	alegria
contento	alegria
deleitação	alegria
deleitamento	alegria
deleite	alegria
desfastio	alegria
enlevo	alegria
entusiasmo	alegria
gáudio	alegria
gosto	alegria
gozo	alegria
jovialidade	alegria
jubilação	alegria
júbilo	alegria
jucundidade	alegria
ledice	alegria
pasto	alegria
regalo	alegria
regozijo	alegria
riso	alegria
satisfação	alegria
glória	alegria
festa	alegria
divertimento	alegria
diversão	alegria
distração	alegria
entretenimento	alegria
farra	alegria
folguedo	alegria
recreação	alegria
infelicidade	tristeza
desânimo	tristeza
tristura	tristeza
descontentamento	tristeza
abatimento	tristeza
melancolia	tristeza
desalento	tristeza
desolação	tristeza
desconsolo	tristeza
insatisfação	tristeza
esmorecimento	tristeza
prostração	tristeza
depressão	tristeza
desesperança	tristeza
mágoa	tristeza
desgosto	tristeza
sofrimento	tristeza
aflição	tristeza
angústia	tristeza
consternação	tristeza
dissabor	tristeza
amargura	tristeza
dor	tristeza
pesar	tristeza
pena	tristeza
inquietação	tristeza
padecimento	tristeza
infortúnio	tristeza
mortificação	tristeza
luto	tristeza
fúria	raiva
ira	raiva
cólera	raiva
irritação	raiva
ódio	raiva
gana	raiva
furor	raiva
zanga	raiva
agressividade	raiva
sanha	raiva
exasperação	raiva
frustração	raiva
indignação	raiva
aversão	raiva
horror	raiva
repulsão	raiva
repulsa	raiva
ojeriza	raiva
asco	raiva
antipatia	raiva
animosidade	raiva
odiosidade	raiva
execração	raiva
desprezo	raiva
rancor	raiva
ressentimento	raiva
hidrofobia	raiva
danação	raiva
moléstia	raiva
desejo	raiva
apetite	raiva
ânsia	raiva
paixão	raiva
náusea	nojo
enjoo	nojo
repugnância	nojo
fastio	nojo
abominação	nojo
enojo	nojo
engulho	nojo
antojo	nojo
dó	nojo
crepe	nojo
cipreste	nojo
vergonha	nojo
pudor	nojo
recato	nojo
decoro	nojo
pejo	nojo
constrangimento	nojo
tédio	nojo
aborrecimento	nojo
chatice	nojo
enfado	nojo
amolação	nojo
pavor	medo
fobia	medo
terror	medo
pânico	medo
temor	medo
susto	medo
amedrontamento	medo
receio	medo
apreensão	medo
preocupação	medo
ansiedade	medo
incerteza	medo
dúvida	medo
covardia	medo
fraqueza	medo
frouxidão	medo
poltronaria	medo
pusilanimidade	medo
poltronice	medo
ignávia	medo
médico	medo
camarção	medo
jubilidade	alegria
oásis	alegria
carinho	alegria
carícia	alegria
afago	alegria
cortesia	alegria
educação	alegria
gentileza	alegria
gratificação	alegria
gorjeta	alegria
caixinha	alegria
beneplácito	alegria
consentimento	alegria
aprovação	alegria
prazimento	alegria
mimo	alegria
agradecimento	alegria
perfume	alegria
complacência	alegria
delícia	alegria
volúpia	alegria
comodidade	alegria
conveniência	alegria
sanção	alegria
cômodo	alegria
bem-aventurança	alegria
sorte	alegria
ventura	alegria
dita	alegria
fortuna	alegria
sucesso	alegria
êxito	alegria
triunfo	alegria
vitória	alegria
acerto	alegria
congratulações	alegria
felicitações	alegria
cumprimentos	alegria
exultação	alegria
passatempo	alegria
satisfazer	alegria
comprazer	alegria
aprazer	alegria
agradar	alegria
permissão	alegria
alvoroço	alegria
amenidade	alegria
arrebatamento	alegria
exaltação	alegria
excitação	alegria
calma	alegria
conforto	alegria
despreocupação	alegria
disposição	alegria
otimismo	alegria
tranquilidade	alegria
aconchego	alegria
saúde	alegria
segurança	alegria
beatitude	alegria
bem	alegria
vontade	alegria
independência	alegria
prosperidade	alegria
benevolência	alegria
benignidade	alegria
condescendência	alegria
estorvo	alegria
conteúdo	alegria
doçura	alegria
desenfado	alegria
maravilha	alegria
alienação	alegria
arroubo	alegria
êxtase	alegria
absorção	alegria
delírio	alegria
endeusamento	alegria
embevecimento	alegria
enlevamento	alegria
fascínio	alegria
transporte	alegria
suspensão	alegria
embriaguez	alegria
encanto	alegria
enleio	alegria
anagogia	alegria
contemplação	alegria
espasmo	alegria
enlevação	alegria
voo	alegria
ardor	alegria
energia	alegria
calor	alegria
fervor	alegria
flama	alegria
força	alegria
ímpeto	alegria
impulso	alegria
interesse	alegria
sentimento	alegria
veemência	alegria
vida	alegria
vigor	alegria
admiração	alegria
encantamento	alegria
frenesi	alegria
frenesim	alegria
centelha	alegria
elã	alegria
estro	alegria
iluminação	alegria
inspiração	alegria
lampejo	alegria
sopro	alegria
transe	alegria
paladar	alegria
gustação	alegria
sabor	alegria
sensação	alegria
palato	alegria
saibo	alegria
apetência	alegria
fome	alegria
aptidão	alegria
propensão	alegria
predileção	alegria
predisposição	alegria
inclinação	alegria
tendência	alegria
preferência	alegria
simpatia	alegria
queda	alegria
fraco	alegria
pendor	alegria
habilidade	alegria
vocação	alegria
veia	alegria
sensibilidade	alegria
bom gosto	alegria
elegância	alegria
finura	alegria
fineza	alegria
refinamento	alegria
requinte	alegria
esmero	alegria
primor	alegria
discrição	alegria
harmonia	alegria
maneira	alegria
modo	alegria
jeito	alegria
estilo	alegria
forma	alegria
critério	alegria
opinião	alegria
discernimento	alegria
escolha	alegria
juízo	alegria
alvitre	alegria
arbítrio	alegria
capricho	alegria
fantasia	alegria
mercê	alegria
bel-prazer	alegria
talante	alegria
opção	alegria
retribuição	alegria
recompensa	alegria
molhadela	alegria
posse	alegria
uso	alegria
usufruto	alegria
utilização	alegria
fruição	alegria
desfrute	alegria
proveito	alegria
poder	alegria
usufruição	alegria
aproveitamento	alegria
graça	alegria
hilaridade	alegria
orgasmo	alegria
clímax	alegria
gozação	alegria
gracejo	alegria
brincadeira	alegria
humor	alegria
invernada	alegria
engorda	alegria
alimento	alegria
comida	alegria
alimentação	alegria
assunto	alegria
pastagem	alegria
tema	alegria
campo	alegria
prado	alegria
ervaçal	alegria
forragem	alegria
brinde	alegria
oferta	alegria
resguardo	alegria
agasalho	alegria
dádiva	alegria
presente	alegria
surpresa	alegria
lembrança	alegria
bobagem	alegria
prenda	alegria
aleluia	alegria
rejubilação	alegria
sol	alegria
sorriso	alegria
zombaria	alegria
gargalhada	alegria
chacota	alegria
ridículo	alegria
risada	alegria
judiaria	alegria
judiação	alegria
celebração	alegria
comemoração	alegria
festividade	alegria
festejo	alegria
festança	alegria
festim	alegria
solenidade	alegria
cerimônia	alegria
evento	alegria
sarau	alegria
festival	alegria
banquete	alegria
folgança	alegria
pândega	alegria
função	alegria
folia	alegria
descanso	alegria
feriado	alegria
folga	alegria
féria	alegria
recesso	alegria
trégua	alegria
lazer	alegria
troça	alegria
onda	alegria
recreio	alegria
alívio	alegria
disparate	alegria
orgia	alegria
cambalhota	alegria
episódio	alegria
brinco	alegria
brinquedo	alegria
desporto	alegria
espairecimento	alegria
espetáculo	alegria
esporte	alegria
jogo	alegria
programa	alegria
atração	alegria
hobby	alegria
desenfadamento	alegria
entretém	alegria
entretimento	alegria
baderna	alegria
bacanal	alegria
bebedeira	alegria
bródio	alegria
deboche	alegria
dissipação	alegria
estroinice	alegria
gaudério	alegria
pagode	alegria
patuscada	alegria
reinação	alegria
gandaia	alegria
súcia	alegria
bagunça	alegria
esbórnia	alegria
fuzarca	alegria
noitada	alegria
noite	alegria
opa	alegria
rapioca	alegria
saturnal	alegria
carnaval	alegria
azar	tristeza
desgraça	tristeza
fatalidade	tristeza
desdita	tristeza
desventura	tristeza
misantropia	tristeza
aborto	tristeza
mal	tristeza
adversidade	tristeza
calamidade	tristeza
catástrofe	tristeza
revés	tristeza
tragédia	tristeza
tormento	tristeza
mesquinhez	tristeza
contratempo	tristeza
intempérie	tristeza
castigo	tristeza
volta	tristeza
lástima	tristeza
golpe	tristeza
derrota	tristeza
negrura	tristeza
negrume	tristeza
miséria	tristeza
moleza	tristeza
atribulação	tristeza
caiporismo	tristeza
casmurrice	tristeza
