AgCD3|PrefeitoCD	olá, por qual preço você está vendendo o agrotóxico super premium? faz alguma promoção se comprar os 6 do mesmo tipo?
EmpAgro	calma q eu to me resolvendo
EmpAgro	Bom dia!
EmpAgro	
EmpAgro	Hoje todos os agrotóxicos estão saindo à preços normais
EmpAgro	O preço está normal e por isso não estou oferecendo promoções
EmpAgro	GREEN WEDNESDAY DOS AGROTOXICOS
EmpAgro	Todos por preço baixo
EmpAgro	ATÉ QUANDO DURAREM OS ESTOQUES
EmpAgro	@everyone PROMOÇÃO compre 2 superpremium leve 1 comum
EmpAgro	@everyone O GERENTE FICOU LOUCO compre 1 suprepremium ganhe 1 comum
EmpAgro	q
EmpAgro	ja ate acabou a rodada
EmpAgro	To jogando de afk
