Agente	Frase	Rodada
AgAt1	Não tenho interesse em me candidatar	2
AgAt2	então fica como ta ?	2
AgAt2	tipo a unica posibilidade  é ou o outro|a agricultor se candidata, ou eu e a prefeita trocar de papeis	2
AgAt2	e ja deixo claro q pra mim tanto faz	2
EmpMaq - PrefeitaATLANTIS	pra mim tanto faz tbm	2
EmpMaq - PrefeitaATLANTIS	se alguém quiser trocar de papel ou pegar a prefeitura sem objeções	2
AgAt2	então caso o|a agricultor q falta n se manifestar, mantemos assim	2
AgAt2	a tem o fiscal tbm	2
EmpSem/Fiscal	sou fiscal, se alguém quiser trocar de papel tranquilo	2
EmpSem/Fiscal	tb	2
AgAT3	não tenho interesse em me candidatar a nenhum cargo no momento :slight_smile: acredito que a atual gestão está fazendo um bom trabalho.	2
AgAt2	então acho q mantemos como tá	2
EmpMaq - PrefeitaATLANTIS	sim da para manter	2
AgCD2 / PrefeitoCD	Bom dia pessoal. Alguém mais querendo se candidatar a prefeitura?	2
EmpAgrot	bom dia	2
EmpAgrot	não quero me candidatar, alguem se gostaria?	2
AgCD3 | VerCD	Bom dia!	2
AgCD3 | VerCD	Eu voto por manter os papeis	2
AgCD3 | VerCD	dai não precisa alterar as fichas	2
AgCD1 - Fiscal Cidadela	Bom dia	2
AgCD1 - Fiscal Cidadela	Eu voto em mudar o fiscal	2
AgCD1 - Fiscal Cidadela	E o vereador	2
AgCD1 - Fiscal Cidadela	Eu era vereadora	2
AgCD1 - Fiscal Cidadela	E agora me candidato fiscal	2
AgCD2 / PrefeitoCD	O outro candidato fiscal concorda com isso? Se tu sair de vereador, quem assume?	2
AgCD1 - Fiscal Cidadela	Precisamos votar	2
AgCD3 | VerCD	Se quiser trocar de papel cmg Bruna eu topo	2
AgCD3 | VerCD	tu vira fiscal	2
AgCD3 | VerCD	e eu vereador	2
AgCD3 | VerCD	LINHA REMOVIDA	2
AgCD1 - Fiscal Cidadela	Certo	2
AgCD2 / PrefeitoCD	Alguém tem alguma objeção aos cargos então?	2
AgCD2 / PrefeitoCD	Bruna vira fiscal, giovani vereador e eu continuo prefeito	2
AgCD1 - Fiscal Cidadela	de acordo	2
AgCD3 | VerCD	ok	2
AgCD2 / PrefeitoCD	Vou avisar lá então	2
AgAt1	Sao SEIS unidades de SP para mim, quais as condições para nossa transação?	1
EmpAgrot	entao posso te fazer a preço normal	1
AgAt1	Entendo, gostaria de comprar mas tenho uma outra proposta por valor reduzido sendo duas das unidades a preço baixo, tens interesse de cobrir a oferta?	1
AgAt1	Ou oferecer outra proposta, se for do teu interesse...	1
EmpAgrot	te faço 3 a preço baixo e 3  a preço normal	1
EmpAgrot	é o melhor q posso fazer	1
AgAt1	Ótimo, deal!	1
AgAt1	Obg	1
EmpAgrot	fechado	1
EmpAgrot	qual é o teu nome	1
AgAt1	AgAT1	1
EmpAgrot	ta bem	1
EmpAgrot	obrigada	1
EmpAgrot	alguém mais gostaria de comprar	1
EmpAgrot	pessoal promoção no agrotoxico comum	1
AgCD3 | VerCD	AgCD3 -- Olá! Gostaria de comprar 6 sacos de agrotóxico SUPER PREMIUM pelo preço BAIXO! Eu conheço o Fiscal :wink:	2
EmpAgrot	e o fiscal nao vai me multar?	2
EmpAgrot	posso fazer 4 por preço baixo e 2 por preço normal :wink:	2
AgAt2	Giovani te invajo	2
AgAt2	suahsausha	2
AgCD3 | VerCD	Se forem todos por preço Baixo consigo diminuir uma unidade na multa	2
EmpAgrot	mas nem fui multada na rodada anterior	2
