,Partida,Rodada,Etapa,Emp,Agro,Sentimento
0,5,1,1,EmpAgro,AgAT1,alegria
1,5,2,1,EmpAgro,AgCD3,alegria
2,5,3,1,EmpAgro,AgAT2,nojo
3,5,4,1,EmpAgro,AgCD3,alegria
4,5,4,1,EmpAgro,AgAT2,alegria
5,5,1,1,EmpFert,AgCD1,alegria
6,5,1,1,EmpFert,AgCD2,medo
7,5,1,1,EmpFert,AgCD3,alegria
8,5,1,1,EmpFert,AgAT1,alegria
9,5,1,1,EmpFert,AgAT2,tristeza
10,5,1,1,EmpFert,AgAT3,alegria
11,5,2,1,EmpFert,AgCD1,alegria
12,5,2,1,EmpFert,AgCD2,alegria
13,5,2,1,EmpFert,AgCD3,alegria
14,5,2,1,EmpFert,AgAT1,alegria
15,5,2,1,EmpFert,AgAT2,alegria
16,5,2,1,EmpFert,AgAT3,alegria
17,5,3,1,EmpFert,AgCD1,alegria
18,5,3,1,EmpFert,AgCD2,alegria
19,5,3,1,EmpFert,AgCD3,alegria
20,5,3,1,EmpFert,AgAT1,alegria
21,5,3,1,EmpFert,AgAT2,alegria
22,5,3,1,EmpFert,AgAT3,alegria
23,5,4,1,EmpFert,AgCD1,raiva
24,5,4,1,EmpFert,AgCD2,alegria
25,5,4,1,EmpFert,AgCD3,alegria
26,5,4,1,EmpFert,AgAT1,raiva
27,5,4,1,EmpFert,AgAT2,raiva
28,5,1,1,EmpMaq,AgCD1,nojo
29,5,1,1,EmpMaq,AgCD3,alegria
30,5,2,1,EmpMaq,AgAT1,alegria
31,5,2,1,EmpMaq,AgCD1,alegria
32,5,2,1,EmpMaq,AgCD2,alegria
33,5,3,1,EmpMaq,AgAT2,alegria
34,5,3,1,EmpMaq,AgCD1,nojo
35,5,3,1,EmpMaq,AgCD2,alegria
36,5,3,1,EmpMaq,AgCD3,tristeza
37,5,4,1,EmpMaq,AgAT3,tristeza
38,5,4,1,EmpMaq,AgCD1,tristeza
39,5,4,1,EmpMaq,AgCD2,nojo
40,5,4,1,EmpMaq,AgCD3,tristeza
41,5,1,1,EmpSem,AgCD1,alegria
42,5,1,1,EmpSem,AgCD2,alegria
43,5,1,1,EmpSem,AgCD3,alegria
44,5,1,1,EmpSem,AgAT1,alegria
45,5,1,1,EmpSem,AgAT2,nojo
46,5,1,1,EmpSem,AgAT3,alegria
47,5,2,1,EmpSem,AgCD1,medo
48,5,2,1,EmpSem,AgCD2,nojo
49,5,2,1,EmpSem,AgCD3,tristeza
50,5,2,1,EmpSem,AgAT1,alegria
51,5,2,1,EmpSem,AgAT2,alegria
52,5,2,1,EmpSem,AgAT3,alegria
53,5,3,1,EmpSem,AgCD1,alegria
54,5,3,1,EmpSem,AgCD2,alegria
55,5,3,1,EmpSem,AgCD3,tristeza
56,5,3,1,EmpSem,AgAT1,alegria
57,5,3,1,EmpSem,AgAT2,alegria
58,5,3,1,EmpSem,AgAT3,alegria
59,5,4,1,EmpSem,AgCD1,alegria
60,5,4,1,EmpSem,AgCD2,alegria
61,5,4,1,EmpSem,AgCD3,raiva
62,5,4,1,EmpSem,AgAT1,nojo
63,5,4,1,EmpSem,AgAT2,alegria
64,5,4,1,EmpSem,AgAT3,medo
65,6,1,1,EmpAgro,AgCD3,alegria
66,6,1,1,EmpAgro,AgAT2,alegria
67,6,1,1,EmpAgro,AgAT3,alegria
68,6,2,1,EmpAgro,AgCD2,raiva
69,6,2,1,EmpAgro,AgCD3,alegria
70,6,2,1,EmpAgro,AgAT2,alegria
71,6,2,1,EmpAgro,AgAT3,alegria
72,6,3,1,EmpAgro,AgCD2,medo
73,6,3,1,EmpAgro,AgCD3,raiva
74,6,3,1,EmpAgro,AgAT3,alegria
75,6,1,1,EmpFert,AgCD1,alegria
76,6,1,1,EmpFert,AgCD2,alegria
77,6,1,1,EmpFert,AgCD3,alegria
78,6,1,1,EmpFert,AgAT1,alegria
79,6,1,1,EmpFert,AgAT2,alegria
80,6,1,1,EmpFert,AgAT3,alegria
81,6,2,1,EmpFert,AgCD1,alegria
82,6,2,1,EmpFert,AgCD2,alegria
83,6,2,1,EmpFert,AgCD3,alegria
84,6,2,1,EmpFert,AgAT1,alegria
85,6,2,1,EmpFert,AgAT2,raiva
86,6,2,1,EmpFert,AgAT3,raiva
87,6,3,1,EmpFert,AgCD1,nojo
88,6,3,1,EmpFert,AgCD2,nojo
89,6,3,1,EmpFert,AgCD3,alegria
90,6,3,1,EmpFert,AgAT1,alegria
91,6,3,1,EmpFert,AgAT2,medo
92,6,3,1,EmpFert,AgAT3,alegria
93,6,4,1,EmpFert,AgCD1,nojo
94,6,4,1,EmpFert,AgCD2,alegria
95,6,4,1,EmpFert,AgCD3,alegria
96,6,4,1,EmpFert,AgAT1,medo
97,6,4,1,EmpFert,AgAT2,alegria
98,6,4,1,EmpFert,AgAT3,alegria
99,6,1,1,EmpMaq,AgCD1,alegria
100,6,1,1,EmpMaq,AgCD2,medo
101,6,1,1,EmpMaq,AgCD3,alegria
102,6,1,1,EmpMaq,AgAT1,raiva
103,6,1,1,EmpMaq,AgAT2,alegria
104,6,2,1,EmpMaq,AgCD1,nojo
105,6,2,1,EmpMaq,AgCD2,alegria
106,6,2,1,EmpMaq,AgAT1,nojo
107,6,2,1,EmpMaq,AgAT2,alegria
108,6,3,1,EmpMaq,AgCD1,alegria
109,6,3,1,EmpMaq,AgCD2,tristeza
110,6,3,1,EmpMaq,AgAT1,alegria
111,6,3,1,EmpMaq,AgAT2,medo
112,6,3,1,EmpMaq,AgAT3,tristeza
113,6,4,1,EmpMaq,AgCD1,nojo
114,6,4,1,EmpMaq,AgCD3,medo
115,6,4,1,EmpMaq,AgAT1,medo
116,6,4,1,EmpMaq,AgAT2,medo
117,6,4,1,EmpMaq,AgAT3,alegria
118,6,1,1,EmpSem,AgCD1,alegria
119,6,1,1,EmpSem,AgCD2,nojo
120,6,1,1,EmpSem,AgCD3,tristeza
121,6,1,1,EmpSem,AgAT1,alegria
122,6,1,1,EmpSem,AgAT2,alegria
123,6,1,1,EmpSem,AgAT3,alegria
124,6,2,1,EmpSem,AgCD1,nojo
125,6,2,1,EmpSem,AgCD2,alegria
126,6,2,1,EmpSem,AgCD3,alegria
127,6,2,1,EmpSem,AgAT1,alegria
128,6,2,1,EmpSem,AgAT2,alegria
129,6,2,1,EmpSem,AgAT3,tristeza
130,6,3,1,EmpSem,AgCD1,alegria
131,6,3,1,EmpSem,AgCD2,alegria
132,6,3,1,EmpSem,AgCD3,alegria
133,6,3,1,EmpSem,AgAT1,medo
134,6,3,1,EmpSem,AgAT2,medo
135,6,3,1,EmpSem,AgAT3,alegria
136,6,4,1,EmpSem,AgCD1,medo
137,6,4,1,EmpSem,AgCD2,alegria
138,6,4,1,EmpSem,AgCD3,alegria
139,6,4,1,EmpSem,AgAT1,medo
140,6,4,1,EmpSem,AgAT2,medo
141,6,4,1,EmpSem,AgAT3,alegria
142,7,1,1,EmpAgro,AgCD2,alegria
143,7,1,1,EmpAgro,AgCD3,alegria
144,7,1,1,EmpAgro,AgAT1,alegria
145,7,2,1,EmpAgro,AgCD3,alegria
146,7,2,1,EmpAgro,AgAT1,medo
147,7,3,1,EmpAgro,AgCD2,alegria
148,7,3,1,EmpAgro,AgCD3,medo
149,7,3,1,EmpAgro,AgAT2,alegria
150,7,4,1,EmpAgro,AgAT2,alegria
151,7,5,1,EmpAgro,AgAT2,alegria
152,7,5,1,EmpAgro,AgAT3,alegria
153,7,1,1,EmpFert,AgCD1,alegria
154,7,1,1,EmpFert,AgCD2,alegria
155,7,1,1,EmpFert,AgCD3,alegria
156,7,1,1,EmpFert,AgAT1,alegria
157,7,1,1,EmpFert,AgAT2,alegria
158,7,1,1,EmpFert,AgAT3,alegria
159,7,2,1,EmpFert,AgCD1,alegria
160,7,2,1,EmpFert,AgCD2,alegria
161,7,2,1,EmpFert,AgCD3,alegria
162,7,2,1,EmpFert,AgAT1,alegria
163,7,2,1,EmpFert,AgAT2,alegria
164,7,2,1,EmpFert,AgAT3,alegria
165,7,3,1,EmpFert,AgCD1,alegria
166,7,3,1,EmpFert,AgCD3,alegria
167,7,3,1,EmpFert,AgAT1,alegria
168,7,3,1,EmpFert,AgAT2,alegria
169,7,3,1,EmpFert,AgAT3,alegria
170,7,4,1,EmpFert,AgCD1,raiva
171,7,4,1,EmpFert,AgCD2,raiva
172,7,4,1,EmpFert,AgCD3,raiva
173,7,4,1,EmpFert,AgAT1,raiva
174,7,4,1,EmpFert,AgAT2,raiva
175,7,4,1,EmpFert,AgAT3,alegria
176,7,5,1,EmpFert,AgCD1,raiva
177,7,5,1,EmpFert,AgCD2,raiva
178,7,5,1,EmpFert,AgCD3,raiva
179,7,5,1,EmpFert,AgAT1,alegria
180,7,5,1,EmpFert,AgAT2,alegria
181,7,5,1,EmpFert,AgAT3,raiva
182,7,1,1,EmpMaq,AgCD2,alegria
183,7,1,1,EmpMaq,AgCD3,alegria
184,7,1,1,EmpMaq,AgAT1,alegria
185,7,1,1,EmpMaq,AgAT2,alegria
186,7,1,1,EmpMaq,AgAT3,alegria
187,7,2,1,EmpMaq,AgCD2,alegria
188,7,2,1,EmpMaq,AgCD3,alegria
189,7,2,1,EmpMaq,AgAT1,alegria
190,7,2,1,EmpMaq,AgAT3,alegria
191,7,3,1,EmpMaq,AgCD1,alegria
192,7,3,1,EmpMaq,AgCD2,alegria
193,7,3,1,EmpMaq,AgAT1,alegria
194,7,3,1,EmpMaq,AgAT2,alegria
195,7,3,1,EmpMaq,AgAT3,alegria
196,7,4,1,EmpMaq,AgCD1,alegria
197,7,4,1,EmpMaq,AgCD2,alegria
198,7,4,1,EmpMaq,AgCD3,medo
199,7,4,1,EmpMaq,AgAT1,medo
200,7,4,1,EmpMaq,AgAT2,alegria
201,7,4,1,EmpMaq,AgAT3,medo
202,7,5,1,EmpMaq,AgCD2,alegria
203,7,5,1,EmpMaq,AgCD3,medo
204,7,5,1,EmpMaq,AgAT1,medo
205,7,5,1,EmpMaq,AgAT2,alegria
206,7,5,1,EmpMaq,AgAT3,alegria
207,7,1,1,EmpSem,AgCD1,alegria
208,7,1,1,EmpSem,AgCD2,alegria
209,7,1,1,EmpSem,AgCD3,alegria
210,7,1,1,EmpSem,AgAT1,tristeza
211,7,1,1,EmpSem,AgAT2,alegria
212,7,1,1,EmpSem,AgAT3,alegria
213,7,2,1,EmpSem,AgCD1,alegria
214,7,2,1,EmpSem,AgCD2,alegria
215,7,2,1,EmpSem,AgCD3,alegria
216,7,2,1,EmpSem,AgAT1,alegria
217,7,2,1,EmpSem,AgAT2,alegria
